inspection_period,phase_start,phase_end,concentration_level_distribution,dynamic_state_distribution,episode_type,start_radon,end_radon,min_radon,max_radon,robust_slope,local_variability,confidence,reason_codes
2024-05-25 to 2024-05-30,2024-05-21T11:47:00+00:00,2024-05-25T08:47:00+00:00,"{""LOW"": {""count"": 82, ""percent"": 100.0}}","{""STABLE"": {""count"": 82, ""percent"": 100.0}}",STABLE_LOW,7.0,14.0,0.0,28.0,0.025,2.915,HIGH,"[""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""SUFFICIENT_WINDOW"", ""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""SLOPE_BELOW_TREND_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-25T09:47:00+00:00,2024-05-25T10:47:00+00:00,"{""LOW"": {""count"": 2, ""percent"": 100.0}}","{""RISING"": {""count"": 2, ""percent"": 100.0}}",UNSTABLE_TRANSITION,47.0,74.0,47.0,74.0,27.0,2.5,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SUFFICIENT_WINDOW"", ""STRONG_PERSISTENT_TREND""]"
2024-05-25 to 2024-05-30,2024-05-25T11:47:00+00:00,2024-05-25T14:47:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 25.0}, ""LOW"": {""count"": 3, ""percent"": 75.0}}","{""UNSTABLE_TRANSITION"": {""count"": 4, ""percent"": 100.0}}",UNSTABLE_TRANSITION,64.0,105.0,64.0,105.0,13.667,17.75,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SUFFICIENT_WINDOW"", ""HIGH_LOCAL_VARIABILITY""]"
2024-05-25 to 2024-05-30,2024-05-25T15:47:00+00:00,2024-05-25T17:47:00+00:00,"{""LOW"": {""count"": 3, ""percent"": 100.0}}","{""STABLE"": {""count"": 3, ""percent"": 100.0}}",STABLE_LOW,74.0,89.0,74.0,89.0,7.5,10.667,HIGH,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SUFFICIENT_WINDOW"", ""SHORT_MEDIUM_SLOPE_AGREEMENT""]"
2024-05-25 to 2024-05-30,2024-05-25T18:47:00+00:00,2024-05-25T18:47:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_ELEVATED,110.0,110.0,110.0,110.0,N/A,13.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SUFFICIENT_WINDOW""]"
2024-05-25 to 2024-05-30,2024-05-25T19:47:00+00:00,2024-05-25T22:47:00+00:00,"{""ELEVATED"": {""count"": 4, ""percent"": 100.0}}","{""RISING"": {""count"": 4, ""percent"": 100.0}}",ACCUMULATION,99.0,137.0,99.0,137.0,12.667,13.5,HIGH,"[""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SUFFICIENT_WINDOW"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""REPEATED_SIGN_CHANGES""]"
2024-05-25 to 2024-05-30,2024-05-25T23:47:00+00:00,2024-05-26T00:47:00+00:00,"{""ELEVATED"": {""count"": 2, ""percent"": 100.0}}","{""STABLE"": {""count"": 2, ""percent"": 100.0}}",STABLE_ELEVATED,114.0,108.0,108.0,114.0,-6.0,10.0,HIGH,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SUFFICIENT_WINDOW"", ""LONG_STABLE_DURATION""]"
2024-05-25 to 2024-05-30,2024-05-26T01:47:00+00:00,2024-05-26T03:47:00+00:00,"{""ELEVATED"": {""count"": 3, ""percent"": 100.0}}","{""RISING"": {""count"": 3, ""percent"": 100.0}}",ACCUMULATION,144.0,146.0,144.0,177.0,1.0,11.333,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SUFFICIENT_WINDOW"", ""SHORT_SLOPE_POSITIVE"", ""STRONG_PERSISTENT_TREND""]"
2024-05-25 to 2024-05-30,2024-05-26T04:47:00+00:00,2024-05-26T08:47:00+00:00,"{""ELEVATED"": {""count"": 5, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 5, ""percent"": 100.0}}",UNSTABLE_TRANSITION,159.0,179.0,159.0,191.0,5.0,18.4,HIGH,"[""SUFFICIENT_WINDOW"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""HIGH_LOCAL_VARIABILITY""]"
2024-05-25 to 2024-05-30,2024-05-26T09:47:00+00:00,2024-05-26T11:47:00+00:00,"{""ELEVATED"": {""count"": 3, ""percent"": 100.0}}","{""RISING"": {""count"": 3, ""percent"": 100.0}}",ACCUMULATION,185.0,170.0,170.0,190.0,-7.5,8.667,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SUFFICIENT_WINDOW"", ""SHORT_SLOPE_POSITIVE"", ""AMBIGUOUS_BUT_LOW_INSTABILITY""]"
2024-05-25 to 2024-05-30,2024-05-26T12:47:00+00:00,2024-05-26T14:47:00+00:00,"{""ELEVATED"": {""count"": 3, ""percent"": 100.0}}","{""FALLING"": {""count"": 3, ""percent"": 100.0}}",DECLINE,161.0,188.0,154.0,188.0,13.5,9.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SUFFICIENT_WINDOW"", ""SHORT_SLOPE_NEGATIVE"", ""AMBIGUOUS_BUT_LOW_INSTABILITY""]"
2024-05-25 to 2024-05-30,2024-05-26T15:47:00+00:00,2024-05-26T16:47:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 50.0}, ""HIGH"": {""count"": 1, ""percent"": 50.0}}","{""UNSTABLE_TRANSITION"": {""count"": 2, ""percent"": 100.0}}",UNSTABLE_TRANSITION,164.0,205.0,164.0,205.0,41.0,15.5,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""REPEATED_SIGN_CHANGES"", ""SUFFICIENT_WINDOW"", ""HIGH_LOCAL_VARIABILITY"", ""LOW_LOCAL_VARIABILITY""]"
2024-05-25 to 2024-05-30,2024-05-26T17:47:00+00:00,2024-05-26T18:47:00+00:00,"{""ELEVATED"": {""count"": 2, ""percent"": 100.0}}","{""STABLE"": {""count"": 2, ""percent"": 100.0}}",STABLE_ELEVATED,183.0,161.0,161.0,183.0,-22.0,11.5,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SUFFICIENT_WINDOW""]"
2024-05-25 to 2024-05-30,2024-05-26T19:47:00+00:00,2024-05-27T03:47:00+00:00,"{""ELEVATED"": {""count"": 6, ""percent"": 85.71}, ""HIGH"": {""count"": 1, ""percent"": 14.29}}","{""UNSTABLE_TRANSITION"": {""count"": 7, ""percent"": 100.0}}",UNSTABLE_TRANSITION,170.0,236.0,139.0,236.0,4.333,12.429,HIGH,"[""SUFFICIENT_WINDOW"", ""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""REPEATED_SIGN_CHANGES""]"
2024-05-25 to 2024-05-30,2024-05-27T04:47:00+00:00,2024-05-27T04:47:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""RISING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,185.0,185.0,185.0,185.0,N/A,14.0,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SUFFICIENT_WINDOW""]"
2024-05-25 to 2024-05-30,2024-05-27T05:47:00+00:00,2024-05-27T05:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_HIGH,201.0,201.0,201.0,201.0,N/A,11.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-27T06:47:00+00:00,2024-05-27T08:47:00+00:00,"{""HIGH"": {""count"": 3, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 3, ""percent"": 100.0}}",UNSTABLE_TRANSITION,223.0,223.0,218.0,223.0,0.0,17.667,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""REPEATED_SIGN_CHANGES"", ""SUFFICIENT_WINDOW"", ""SHORT_MEDIUM_SLOPE_AGREEMENT""]"
2024-05-25 to 2024-05-30,2024-05-27T09:47:00+00:00,2024-05-27T19:47:00+00:00,"{""HIGH"": {""count"": 11, ""percent"": 100.0}}","{""STABLE"": {""count"": 11, ""percent"": 100.0}}",STABLE_HIGH,223.0,225.0,190.0,225.0,0.2,5.364,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SUFFICIENT_WINDOW"", ""LONG_STABLE_DURATION"", ""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""SLOPE_BELOW_TREND_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-27T20:47:00+00:00,2024-05-27T22:47:00+00:00,"{""HIGH"": {""count"": 3, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 3, ""percent"": 100.0}}",UNSTABLE_TRANSITION,196.0,221.0,196.0,221.0,12.5,7.333,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""LOW_LOCAL_VARIABILITY"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SUFFICIENT_WINDOW""]"
2024-05-25 to 2024-05-30,2024-05-27T23:47:00+00:00,2024-05-28T04:47:00+00:00,"{""HIGH"": {""count"": 6, ""percent"": 100.0}}","{""RISING"": {""count"": 6, ""percent"": 100.0}}",ACCUMULATION,227.0,238.0,227.0,284.0,2.2,18.0,MEDIUM,"[""SUFFICIENT_WINDOW"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""HIGH_LOCAL_VARIABILITY"", ""STRONG_PERSISTENT_TREND""]"
2024-05-25 to 2024-05-30,2024-05-28T05:47:00+00:00,2024-05-28T05:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_HIGH,232.0,232.0,232.0,232.0,N/A,13.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_SLOPE_NEGATIVE"", ""SUFFICIENT_WINDOW""]"
2024-05-25 to 2024-05-30,2024-05-28T06:47:00+00:00,2024-05-28T15:47:00+00:00,"{""HIGH"": {""count"": 4, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 4, ""percent"": 100.0}}",UNSTABLE_TRANSITION,251.0,273.0,216.0,273.0,-4.333,11.5,HIGH,"[""SUFFICIENT_WINDOW"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""LOW_LOCAL_VARIABILITY"", ""REPEATED_SIGN_CHANGES"", ""RAW_SMOOTHED_DISAGREEMENT""]"
2024-05-25 to 2024-05-30,2024-05-28T16:47:00+00:00,2024-05-28T18:47:00+00:00,"{""HIGH"": {""count"": 3, ""percent"": 100.0}}","{""FALLING"": {""count"": 3, ""percent"": 100.0}}",DECLINE,225.0,227.0,205.0,227.0,1.0,11.333,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SUFFICIENT_WINDOW"", ""SHORT_SLOPE_NEGATIVE"", ""PERSISTENCE_ADJUSTED_STATE""]"
2024-05-25 to 2024-05-30,2024-05-28T19:47:00+00:00,2024-05-28T22:47:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,255.0,225.0,221.0,255.0,N/A,15.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SUFFICIENT_WINDOW""]"
2024-05-25 to 2024-05-30,2024-05-28T23:47:00+00:00,2024-05-29T10:47:00+00:00,"{""HIGH"": {""count"": 6, ""percent"": 100.0}}","{""STABLE"": {""count"": 6, ""percent"": 100.0}}",STABLE_HIGH,228.0,210.0,210.0,260.0,-0.6,4.333,HIGH,"[""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""SUFFICIENT_WINDOW"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""AMBIGUOUS_BUT_LOW_INSTABILITY""]"
2024-05-25 to 2024-05-30,2024-05-29T11:47:00+00:00,2024-05-29T12:47:00+00:00,"{""HIGH"": {""count"": 2, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 2, ""percent"": 100.0}}",UNSTABLE_TRANSITION,227.0,253.0,227.0,253.0,26.0,16.0,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SUFFICIENT_WINDOW"", ""HIGH_LOCAL_VARIABILITY""]"
2024-05-25 to 2024-05-30,2024-05-29T13:47:00+00:00,2024-05-29T14:47:00+00:00,"{""HIGH"": {""count"": 2, ""percent"": 100.0}}","{""RISING"": {""count"": 2, ""percent"": 100.0}}",UNSTABLE_TRANSITION,258.0,251.0,251.0,258.0,-7.0,11.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SUFFICIENT_WINDOW"", ""SLOPE_NEAR_THRESHOLD""]"
2024-05-25 to 2024-05-30,2024-05-29T15:47:00+00:00,2024-05-29T17:47:00+00:00,"{""ELEVATED"": {""count"": 2, ""percent"": 66.67}, ""HIGH"": {""count"": 1, ""percent"": 33.33}}","{""FALLING"": {""count"": 3, ""percent"": 100.0}}",DECLINE,207.0,168.0,168.0,207.0,-19.5,19.667,HIGH,"[""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""STRONG_PERSISTENT_TREND"", ""SUFFICIENT_WINDOW"", ""HIGH_LOCAL_VARIABILITY""]"
